ranking,last_name,population,ratio,cumpercentage
205,三宅,104000,0.0011849934255653216,44.5427093622817
206,片岡,104000,0.0011849934255653216,44.62639995654527
207,川島,104000,0.0011849934255653216,44.71009055080884
208,富田,103000,0.001173599258011809,44.79297642781988
209,岡,103000,0.001173599258011809,44.875862304830925
210,杉浦,103000,0.001173599258011809,44.958748181841955
211,奥田,103000,0.001173599258011809,45.041634058853
212,八木,103000,0.001173599258011809,45.12451993586403
213,小沢,102000,0.0011622050904582962,45.20660109562254
214,松永,102000,0.0011622050904582962,45.28868225538105
215,北川,102000,0.0011622050904582962,45.37076341513955
216,平山,101000,0.0011508109229047836,45.45203985764552
217,河合,101000,0.0011508109229047836,45.53331630015149
218,関根,100000,0.0011394167553512708,45.61378802540492
219,牧野,100000,0.0011394167553512708,45.69425975065836
220,白石,99700,0.001135998505085217,45.774490060736035
221,今村,98400,0.0011211860872656504,45.853674238385416
222,寺田,98200,0.001118907253754948,45.93269747258429
223,青山,97800,0.0011143495867335428,46.011398819882146
224,中尾,96800,0.0011029554191800302,46.08929544992748
225,小倉,96300,0.0010972583354032738,46.16678972134653
226,渋谷,96000,0.00109384008513722,46.24404257758983
227,上村,95800,0.0010915612516265174,46.32113449038262
228,小野寺,95700,0.0010904218348711662,46.398145931450166
229,大山,95100,0.0010835853343390586,46.47467454216618
230,岡村,94700,0.0010790276673176534,46.55088126598118
231,足立,94700,0.0010790276673176534,46.62708798979619
232,坂口,94600,0.0010778882505623022,46.70321424188594
233,天野,93900,0.0010699123332748432,46.77877719189891
234,多田,93800,0.001068772916519492,46.85425967018663
235,根本,92700,0.001056239332210628,46.92885695949657
236,佐久間,92600,0.0010550999154552768,47.00337377708125
237,豊田,91900,0.0010471239981678178,47.07732729258915
238,村山,91500,0.0010425663311464128,47.15095892119605
239,田島,91400,0.0010414269143910616,47.22451007807769
240,飯塚,91400,0.0010414269143910616,47.298061234959334
241,角田,91400,0.0010414269143910616,47.37161239184097
242,西,90800,0.0010345904138589538,47.44468071837109
243,武藤,90700,0.0010334509971036026,47.51766857317596
244,竹田,90400,0.0010300327468375488,47.59041501280507
245,白井,90300,0.0010288933300821976,47.66308098070892
246,宮下,90100,0.001026614496571495,47.73558600516226
247,塚本,89700,0.00102205682955009,47.8077691427146
248,児玉,89400,0.001018638579284036,47.87971086509116
249,坂田,89300,0.0010174991625286848,47.95157211574248
250,榎本,89100,0.0010152203290179822,48.02327242294329
251,水谷,89000,0.001014080912262631,48.09489225841885
252,坂井,88900,0.0010129414955072798,48.166431622169156
253,神谷,88800,0.0010118020787519284,48.237890514194206
254,齋藤,87000,0.0009912925771556056,48.307900915164694
255,小原,86800,0.000989013743644903,48.37775037268468
256,小笠原,86400,0.000984456076623498,48.44727794330365
257,浅井,86300,0.0009833166598681466,48.516725042197365
258,岡部,86200,0.0009821772431127954,48.58609166936582
259,森下,86100,0.0009810378263574442,48.65537782480903
260,神田,85800,0.0009776195760913904,48.72442256507648
261,中井,85700,0.0009764801593360391,48.793386833618676
262,植田,85700,0.0009764801593360391,48.862351102160865
263,河村,84900,0.0009673648252932289,48.930671596901036
264,宮川,84400,0.0009616677415164725,48.99858973301494
265,前川,84300,0.0009605283247611213,49.06642739740358
266,稲垣,84200,0.00095938890800577,49.13418459006697
267,大川,83600,0.0009525524074736624,49.20145895237884
268,松崎,82200,0.0009366005728987446,49.26760671053717
269,長田,82200,0.0009366005728987446,49.333754468695496
270,若林,81900,0.0009331823226326908,49.39966081167806
271,飯島,81500,0.0009286246556112857,49.465245267759606
272,谷,81000,0.0009229275718345293,49.53042736521489
273,大沢,80400,0.0009160910713024217,49.59512663231865
274,安部,80300,0.0009149516545470704,49.65974542769716
275,石塚,80300,0.0009149516545470704,49.72436422307567
276,堀内,79500,0.0009058363205042603,49.78833924465215
277,及川,79400,0.000904696903748909,49.852233794503384
278,田代,78700,0.0008967209864614501,49.915565042277834
279,中嶋,78500,0.0008944421529507476,49.97873534660178
280,江口,78300,0.000892163319440045,50.041744707475225
281,山根,78200,0.0008910239026846937,50.10467359662341
282,中谷,77900,0.0008876056524186399,50.16736107059583
283,岸本,77200,0.000879629735131181,50.22948524249149
284,荒川,77000,0.0008773509016204785,50.29144847093663
285,本多,76900,0.0008762114848651272,50.35333122765652
286,西尾,76900,0.0008762114848651272,50.415213984376415
287,森山,76500,0.0008716538178437221,50.47677485419529
288,細川,76100,0.0008670961508223171,50.53801383711316
289,今野,76000,0.0008659567340669658,50.599172348305764
290,岡野,75900,0.0008648173173116145,50.66025038777313
291,金井,75700,0.000862538483800912,50.721167483789976
292,戸田,75200,0.0008568414000241556,50.78168222118056
293,安達,75100,0.0008557019832688043,50.84211648684589
294,稲葉,75100,0.0008557019832688043,50.902550752511225
295,津田,74900,0.0008534231497581018,50.96282407472604
296,森川,74700,0.0008511443162473993,51.02293645349037
297,土井,74600,0.000850004899492048,51.08296836052942
298,落合,74400,0.0008477260659813454,51.142839324117986
299,星,74300,0.0008465866492259942,51.20262981598128
300,村松,74300,0.0008465866492259942,51.26242030784458
301,畠山,73800,0.0008408895654492378,51.321808441081615
302,三上,73600,0.0008386107319385353,51.38103563086814
303,町田,73400,0.0008363318984278327,51.44010187720417
304,岩井,72400,0.00082493773087432,51.49836340628766
305,長尾,72300,0.0008237983141189688,51.55654446364589
306,中原,72100,0.0008215194806082662,51.61456457755362
307,堤,71900,0.0008192406470975637,51.67242374801084
308,野崎,70600,0.0008044282292779971,51.72923678603977
309,中沢,70000,0.0007975917287458895,51.78556699371717
310,金田,69900,0.0007964523119905382,51.84181672966932
311,米田,69800,0.000795312895235187,51.89798599389622
312,松山,69500,0.0007918946449691332,51.95391384294735
313,堀田,69100,0.0007873369779477281,52.00951980509748
314,杉田,68900,0.0007850581444370255,52.0649648237971
315,三好,68900,0.0007850581444370255,52.12040984249672
316,西野,68600,0.0007816398941709717,52.17561344602058
317,佐伯,68300,0.0007782216439049179,52.23057563436867
318,山岸,68300,0.0007782216439049179,52.28553782271676
319,西岡,67200,0.0007656880595960539,52.33961482208708
320,黒川,67000,0.0007634092260853514,52.39353087800688
321,泉,66400,0.0007565727255532438,52.446964103575155
322,甲斐,66200,0.0007542938920425412,52.500236385692936
323,大竹,66200,0.0007542938920425412,52.55350866781071
324,笠原,65400,0.0007451785579997312,52.60613717612645
325,黒木,65100,0.0007417603077336772,52.65852426926644
326,堀江,65000,0.000740620890978326,52.71083089068117
327,大木,65000,0.000740620890978326,52.7631375120959
328,徳永,65000,0.000740620890978326,52.81544413351064
329,川田,64900,0.0007394814742229747,52.86767028320012
330,岸,64800,0.0007383420574676234,52.91981596116434
331,須田,64800,0.0007383420574676234,52.97196163912857
332,山川,64600,0.000736063223956921,53.023946373642296
333,古田,64300,0.0007326449736908672,53.075689692980255
334,新田,64000,0.0007292267234248134,53.127191597142456
335,梅田,63900,0.000728087306669462,53.17861302957939
336,三木,63800,0.0007269478899141107,53.229953990291094
337,榊原,63700,0.0007258084731587594,53.28121447927753
338,野中,63600,0.0007246690564034083,53.33239449653872
339,村井,62700,0.0007144143056052468,53.38285026827262
340,奥山,62400,0.000710996055339193,53.43306462483076
341,土田,62200,0.0007087172218284905,53.4831180379384
342,大城,61900,0.0007052989715624367,53.53293003587027
343,滝沢,61600,0.0007018807212963829,53.58250061862638
344,大村,61400,0.0006996018877856803,53.631910257932006
345,金城,61300,0.000698462471030329,53.68123942551235
346,川端,60900,0.000693904804008924,53.7302467061917
347,井口,60300,0.0006870683034768163,53.778771156519525
348,梶原,60100,0.0006847894699661138,53.82713466339683
349,大場,59600,0.0006790923861893574,53.875095811647874
350,宮城,58300,0.0006642799683697909,53.922010827470636
351,吉原,58200,0.0006631405516144396,53.96884537156813
352,金沢,58000,0.0006608617181037371,54.015518972215126
353,長島,57900,0.0006597223013483858,54.06211210113686
354,宮内,57800,0.0006585828845930346,54.10862475833335
355,安井,57500,0.0006551646343269807,54.15489600035408
356,比嘉,57300,0.0006528858008162782,54.20100629892429
357,庄司,57200,0.0006517463840609269,54.247036125769256
358,大内,57100,0.0006506069673055757,54.292985480888966
359,茂木,56600,0.0006449098835288193,54.338532477382415
360,日高,56500,0.000643770466773468,54.38399900215061
361,向井,56400,0.0006426310500181168,54.42938505519355
362,松島,56300,0.0006414916332627655,54.47469063651123
363,荻野,56200,0.0006403522165074142,54.51991574610366
364,下田,56100,0.0006392127997520629,54.565060383970845
365,西本,56100,0.0006392127997520629,54.61020502183801
366,塚田,56000,0.0006380733829967117,54.65526918797994
367,石黒,55900,0.0006369339662413604,54.700252882396605
368,竹中,55800,0.0006357945494860091,54.74515610508802
369,奥野,55800,0.0006357945494860091,54.79005932777944
370,広田,55600,0.0006335157159753066,54.83480160702035
371,藤川,55400,0.000631236882464604,54.879382942810764
372,嶋田,55400,0.000631236882464604,54.923964278601154
373,福本,55300,0.0006300974657092528,54.96846514266631
374,栗田,55300,0.0006300974657092528,55.01296600673145
375,北野,55000,0.000626679215443199,55.05722545562085
376,川原,54900,0.0006255397986878477,55.10140443278498
377,宇野,54800,0.0006244003819324964,55.14550293822387
378,谷川,54600,0.0006221215484217939,55.18944050021224
379,藤野,54600,0.0006221215484217939,55.23337806220062
380,小谷,54500,0.0006209821316664426,55.277235152463746
381,丹羽,54400,0.0006198427149110913,55.321011771001615
382,吉本,54300,0.0006187032981557401,55.36470791781423
383,藤岡,54100,0.0006164244646450375,55.40824312117634
384,竹本,54100,0.0006164244646450375,55.451778324538445
385,竹下,54000,0.0006152850478896863,55.495233056175294
386,青柳,53900,0.000614145631134335,55.538607316086896
387,緒方,53700,0.0006118667976236324,55.581820632547995
388,古谷,53600,0.0006107273808682812,55.62495347728383
389,藤村,53500,0.0006095879641129299,55.66800585029442
390,平川,53300,0.0006073091306022274,55.71089727985451
391,亀井,53300,0.0006073091306022274,55.753788709414586
392,高島,53200,0.0006061697138468761,55.79659966724941
393,三輪,53100,0.0006050302970915248,55.83933015335899
394,藤沢,52800,0.000601612046825471,55.881819224292805
395,窪田,52300,0.0005959149630487146,55.92390593660035
396,篠崎,52200,0.0005947755462933634,55.965912177182645
397,宮原,52000,0.0005924967127826608,56.00775747431443
398,高井,51700,0.000589078462516607,56.04936135627045
399,下村,51400,0.0005856602122505532,56.09072382305072
400,高瀬,51200,0.0005833813787398507,56.131925346380484
401,根岸,51200,0.0005833813787398507,56.173126869710245
402,山村,51100,0.0005822419619844994,56.214247921314744
403,川本,51000,0.0005811025452291481,56.255288501194
404,柳沢,50800,0.0005788237117184456,56.29616813762275
405,出口,50600,0.000576544878207743,56.33688683060099
406,横井,50600,0.000576544878207743,56.37760552357922
407,小森,50300,0.0005731266279416892,56.4180828013817
408,吉沢,50300,0.0005731266279416892,56.458560079184174
409,小澤,50300,0.0005731266279416892,56.49903735698666
410,武井,50200,0.000571987211186338,56.53943416306389
411,竹村,49900,0.0005685689609202841,56.57958955396535
412,長野,49900,0.0005685689609202841,56.61974494486681
413,宮沢,49300,0.0005617324603881765,56.659417505416755
414,平松,48900,0.0005571747933667714,56.69876817906568
415,福岡,48800,0.0005560353766114202,56.738038380989366
416,黒沢,48700,0.0005548959598560689,56.77722811118778
417,志村,48700,0.0005548959598560689,56.816417841386205
418,臼井,48600,0.0005537565431007176,56.85552709985937
419,溝口,48500,0.0005526171263453663,56.89455588660729
420,田原,48400,0.0005514777095900151,56.93350420162996
421,稲田,48300,0.0005503382928346638,56.97237204492737
422,浅田,47800,0.0005446412090579075,57.010837529598504
423,筒井,47700,0.0005435017923025562,57.0492225425444
424,柳田,47500,0.0005412229587918536,57.08744661203977
425,大原,47500,0.0005412229587918536,57.125670681535155
426,奧村,47400,0.0005400835420365024,57.16381427930529
427,永野,47400,0.0005400835420365024,57.201957877075415
428,林田,47400,0.0005400835420365024,57.24010147484554
429,大平,47300,0.0005389441252811511,57.27816460089043
430,冨田,47200,0.0005378047085257998,57.31614725521004
431,瀬戸,47000,0.0005355258750150973,57.35396896607916
432,手塚,46900,0.000534386458259746,57.39171020522301
433,福永,46900,0.000534386458259746,57.429451444366876
434,入江,46900,0.000534386458259746,57.46719268351074
435,北原,46700,0.0005321076247490435,57.5047729792041
436,篠田,46700,0.0005321076247490435,57.54235327489745
437,富永,46600,0.0005309682079936922,57.579853098865556
438,湯浅,46400,0.0005286893744829897,57.61719197938314
439,鶴田,46400,0.0005286893744829897,57.654530859900746
440,小出,46300,0.0005275499577276384,57.691789268693086
441,沼田,46100,0.0005252711242169358,57.728886734034916
442,矢島,46100,0.0005252711242169358,57.76598419937675
443,長岡,46100,0.0005252711242169358,57.80308166471858
444,高松,46000,0.0005241317074615846,57.84009865833516
445,山岡,45800,0.000521852873950882,57.87695470850124
446,堀口,45700,0.0005207134571955308,57.913730286942055
447,大田,45500,0.0005184346236848282,57.95034492193237
448,岩瀬,45400,0.0005172952069294769,57.98687908519743
449,石崎,45100,0.0005138769566634231,58.023171833286725
450,大槻,45100,0.0005138769566634231,58.059464581376034
451,石山,45000,0.0005127375399080719,58.095676857740074
452,澤田,45000,0.0005127375399080719,58.13188913410412
453,池上,44500,0.0005070404561313155,58.16769905184189
454,相馬,44400,0.0005059010393759642,58.203428497854425
455,堀川,44400,0.0005059010393759642,58.23915794386695
456,二宮,44400,0.0005059010393759642,58.27488738987947
457,園田,44200,0.0005036222058652617,58.310455892441496
458,平岡,44000,0.0005013433723545592,58.345863451553
459,柏木,44000,0.0005013433723545592,58.38127101066451
460,奧田,43900,0.0005002039555992079,58.41659809805078
461,花田,43800,0.0004990645388438566,58.45184471371178
462,島崎,43800,0.0004990645388438566,58.48709132937279
463,杉原,43500,0.0004956462885778028,58.522096529858025
464,川野,43400,0.0004945068718224515,58.557021258618015
465,加納,43400,0.0004945068718224515,58.59194598737801
466,村瀬,43200,0.000492228038311749,58.62670977268749
467,片桐,43100,0.0004910886215563977,58.66139308627173
468,長沢,43100,0.0004910886215563977,58.696076399855954
469,内海,43000,0.0004899492048010464,58.73067924171493
470,倉田,42900,0.0004888097880456952,58.76520161184866
471,越智,42900,0.0004888097880456952,58.799723981982375
472,野沢,42800,0.0004876703712903439,58.834165880390856
473,河原,42700,0.00048653095453499265,58.86852730707407
474,福原,42700,0.00048653095453499265,58.90288873375729
475,西原,42500,0.0004842521210242901,58.93708921698999
476,松野,42500,0.0004842521210242901,58.971289700222705
477,秋元,42400,0.0004831127042689388,59.00540971173016
478,笠井,42400,0.0004831127042689388,59.039529723237614
479,小坂,41900,0.00047741562049218245,59.07324737611881
480,田畑,41800,0.0004762762037368312,59.10688455727474
481,谷本,41600,0.00047399737022612865,59.140360794980175
482,日野,41600,0.00047399737022612865,59.173837032685604
483,千田,41500,0.0004728579534707774,59.20723279866578
484,渡邊,41400,0.0004717185367154261,59.2405480929207
485,北島,41400,0.0004717185367154261,59.273863387175616
486,吉井,41200,0.00046943970320472355,59.30701773798004
487,深沢,41100,0.0004683002864493723,59.3400916170592
488,西沢,41000,0.000467160869694021,59.37308502441311
489,相沢,40900,0.00046602145293866975,59.405997960041766
490,徳田,40800,0.0004648820361833185,59.43883042394516
491,原口,40500,0.00046146378591726465,59.4714214726728
492,新谷,40400,0.0004603243691619134,59.5039320496752
493,小柳,40400,0.0004603243691619134,59.53644262667759
494,田上,40300,0.0004591849524065621,59.56887273195471
495,菅,40200,0.00045804553565121086,59.6012223655066
496,米山,40200,0.00045804553565121086,59.633571999058475
497,細谷,40100,0.0004569061188958596,59.665841160885115
498,今泉,40000,0.0004557667021405083,59.69802985098648
499,森岡,39900,0.00045462728538515706,59.7301380693626
500,浜野,39900,0.00045462728538515706,59.762246287738726
501,畑中,39800,0.00045348786862980576,59.794274034389595
502,小嶋,39400,0.0004489302016084007,59.82597989413945
503,芳賀,39400,0.0004489302016084007,59.8576857538893
504,大井,39300,0.0004477907848530494,59.8893111419139
505,秋田,39300,0.0004477907848530494,59.920936529938494
506,磯部,39300,0.0004477907848530494,59.952561917963095
507,大崎,38800,0.00044209370107629306,59.98378494736143
508,白川,38800,0.00044209370107629306,60.01500797675977
509,坪井,38800,0.00044209370107629306,60.0462310061581
510,植木,38700,0.0004409542843209418,60.07737356383118
511,浅見,38700,0.0004409542843209418,60.108516121504266
512,中本,38600,0.0004398148675655905,60.13957820745208
513,相原,38600,0.0004398148675655905,60.17064029339991
514,細田,38600,0.0004398148675655905,60.20170237934773
515,荻原,38600,0.0004398148675655905,60.23276446529556
516,皆川,38500,0.00043867545081023926,60.263746079518135
517,三谷,38500,0.00043867545081023926,60.29472769374071
518,岸田,38400,0.00043753603405488796,60.32562883623803
519,福山,38400,0.00043753603405488796,60.35652997873535
520,浜口,38300,0.0004363966172995367,60.38735064950741
521,辻本,38200,0.00043525720054418546,60.41809084855423
522,川瀬,38000,0.0004329783670334829,60.44867010415052
523,木原,38000,0.0004329783670334829,60.47924935974683
524,畑,38000,0.0004329783670334829,60.50982861534314
525,大友,37900,0.0004318389502781316,60.54032739921419
526,平林,37900,0.0004318389502781316,60.570826183085245
527,塩田,37700,0.0004295601167674291,60.601164023505795
528,河内,37700,0.0004295601167674291,60.63150186392634
