code,country
ar_EG,Arabic (Egypt)
cs_CZ,Czech
de_DE,German
en_AU,English (Australia)
en_CA,English (Canada)
en_US,English (United States)
es_ES,Spanish (Spain)
es_MX,Spanish (Mexico)
fr_FR,French
it_IT,Italian
ko_KR,Korean
no_NO,Norwegian
pl_PL,Polish
pt_BR,Portuguese (Brazil)
ro_RO,Romanian
ru_RU,Russian
tr_TR,Turkish
uk_UA,Ukrainian
zh_CN,Chinese (China)
zh_TW,Chinese (Taiwan)


